order_id,products,basket_size
CA-2014-100006,['AT&T EL51110 DECT'],1
CA-2014-100090,"['Hon 2111 Invitation Series Corner Table', 'Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue']",2
CA-2014-100363,"['Binder Clips by OIC', 'Things To Do Today Spiral Book']",2
CA-2014-100895,"['Sanford Colorific Scented Colored Pencils, 12/Pack', 'Mophie Juice Pack Helium for iPhone', 'Hot File 7-Pocket, Floor Stand']",3
CA-2014-101147,['Staple holder'],1
CA-2014-101175,['Acco Perma 3000 Stacking Storage Drawers'],1
CA-2014-101392,['Advantus Rolling Drawer Organizers'],1
CA-2014-101476,"['Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner']",1
CA-2014-102085,['Avery 519'],1
CA-2014-102652,"['Tenex B1-RE Series Chair Mats for Low Pile Carpets', 'C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings', 'Xerox 211', 'Xerox 194']",4
CA-2014-102673,"['Staples', 'Newell 320', 'Avery 513', 'Cisco IP\xa0Phone\xa07961G VoIP\xa0phone\xa0- Dark gray']",4
CA-2014-102869,"['Xerox 210', 'Rosewill 107 Normal Keys USB Wired Standard Keyboard', 'Master Caster Door Stop, Large Neon Orange', 'Polycom SoundPoint IP 450 VoIP phone']",4
CA-2014-102988,"['Crayola Colored Pencils', 'AT&T CL82213', 'Xerox 1957', 'Newell 321', 'Martin Yale Chadless Opener Electric Letter Opener']",5
CA-2014-103219,"['Eldon 200 Class Desk Accessories, Black']",1
CA-2014-103310,"['Southworth 25% Cotton Premium Laser Paper and Envelopes', 'Wilson Electronics DB Pro Signal Booster', 'Acme Design Stainless Steel Bent Scissors', 'Hon Pagoda Stacking Chairs']",4
CA-2014-103317,"['Advantus Panel Wall Certificate Holder - 8.5x11', 'Wilson Jones Four-Pocket Poly Binders', 'Luxo Adjustable Task Clamp Lamp']",3
CA-2014-103492,"['Motorola Droid Maxx', 'Cisco 8x8 Inc. 6753i IP Business Phone System', 'GBC Personal VeloBind Strips', 'Avery Non-Stick Binders']",4
CA-2014-103527,"['Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled']",1
CA-2014-103702,"['Premier Elliptical Ring Binder, Black']",1
CA-2014-103800,"['Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book']",1
CA-2014-103807,"['Kingston Digital DataTraveler 8GB USB 2.0', 'RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set']",2
CA-2014-103849,"['SanDisk Cruzer 64 GB USB Flash Drive', 'Xblue XB-1670-86 X16 Small\xa0Office Telephone\xa0- Titanium', 'Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting']",3
CA-2014-104269,"[""Global Deluxe High-Back Manager's Chair""]",1
CA-2014-104472,"['GBC Standard Therm-A-Bind Covers', 'Aluminum Document Frame']",2
CA-2014-104563,"['Newell Chalk Holder', 'Contico 72""H Heavy-Duty Storage System', 'Office Star - Task Chair with Contemporary Loop Arms', 'Global Leather and Oak Executive Chair, Black']",4
CA-2014-104773,"['Companion Letter/Legal File, Black']",1
CA-2014-104808,"['GBC Standard Recycled Report Covers, Clear Plastic Sheets']",1
CA-2014-104976,['Xerox 1987'],1
CA-2014-105165,"['Panasonic KX TS3282B Corded phone', 'Angle-D Binders with Locking Rings, Label Holders', 'Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer', 'Belkin Standard 104 key USB Keyboard', 'Dixon Ticonderoga Core-Lock Colored Pencils']",5
CA-2014-105172,['Avery 518'],1
CA-2014-105270,"['50 Colored Long Pencils', 'Hon Olson Stacker Stools']",2
CA-2014-105417,"['Eldon 500 Class Desk Accessories', 'Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""']",2
CA-2014-105648,"['Bevis Oval Conference Table, Walnut']",1
CA-2014-105893,"['Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D']",1
CA-2014-106054,"['Dixon Prang Watercolor Pencils, 10-Color Set with Brush']",1
CA-2014-106229,"['Bevis Round Conference Table Top, X-Base']",1
CA-2014-106376,"['Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige', 'netTALK DUO VoIP Telephone Service']",2
CA-2014-106572,['Economy Rollaway Files'],1
CA-2014-106726,['Standard Rollaway File with Lock'],1
CA-2014-106971,['Logitech\xa0Gaming G510s - Keyboard'],1
CA-2014-107139,['Vinyl Sectional Post Binders'],1
CA-2014-107181,"['GBC Recycled Grain Textured Covers', 'Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book']",2
CA-2014-107454,"['Avery 499', 'Tensor Computer Mounted Lamp']",2
CA-2014-107524,"['Staple envelope', 'Array Parchment Paper, Assorted Colors']",2
CA-2014-107573,['Staple envelope'],1
CA-2014-107594,"['Logitech B530 USB\xa0Headset\xa0-\xa0headset\xa0- Full size, Binaural', 'DIXON Ticonderoga Erasable Checking Pencils']",2
CA-2014-107755,['Maxell DVD-RAM Discs'],1
CA-2014-107818,"['Prang Colored Pencils', 'Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back', 'Hunt PowerHouse Electric Pencil Sharpener, Blue', 'Carina Double Wide Media Storage Towers in Natural & Black']",4
CA-2014-108147,"['Green Canvas Binder for 8-1/2"" x 14"" Sheets', 'Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units']",2
CA-2014-108182,"['Avery Flip-Chart Easel Binder, Black']",1
CA-2014-108189,"['Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages', 'Staples', 'Bose SoundLink Bluetooth Speaker', 'Letter or Legal Size Expandable Poly String Tie Envelopes', 'Stiletto Hand Letter Openers', 'Pyle PMP37LED', 'Kingston Digital DataTraveler 16GB USB 2.0']",7
CA-2014-108903,"['Hunt Boston Vacuum Mount KS Pencil Sharpener', 'Convenience Packs of Business Envelopes', 'Logitech G105 Gaming Keyboard']",3
CA-2014-109134,['OIC Stacking Trays'],1
CA-2014-109302,"['Performers Binder/Pad Holder, Black']",1
CA-2014-109680,['Fellowes Staxonsteel Drawer Files'],1
CA-2014-109855,"['Wilson Jones Hanging Recycled Pressboard Data Binders', 'WD My Passport Ultra 2TB Portable External Hard Drive']",2
CA-2014-109897,"['BlackBerry Q10', 'Seth Thomas 14"" Day/Date Wall Clock']",2
CA-2014-109918,"['Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut', 'Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book', 'Avery Legal 4-Ring Binder']",3
CA-2014-109932,"['Xerox 195', 'Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16']",2
CA-2014-110030,['12-1/2 Diameter Round Wall Clock'],1
CA-2014-110065,"['Plantronics CS 50-USB -\xa0headset\xa0- Convertible, Monaural', 'Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow']",2
CA-2014-110184,"['Fellowes Super Stor/Drawer', 'GE DSL Phone Line Filter']",2
CA-2014-110219,"['Global Task Chair, Black']",1
CA-2014-110527,['Avery 494'],1
CA-2014-110555,"['Eldon Simplefile Box Office', 'AT&T SB67148 SynJ', 'Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive']",3
CA-2014-110611,"['Tennsco Lockers, Gray']",1
CA-2014-111003,"['GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack', 'Boston Heavy-Duty Trimline Electric Pencil Sharpeners']",2
CA-2014-111059,"['Ibico Laser Imprintable Binding System Covers', 'Avery Durable Poly Binders']",2
CA-2014-111157,"['Xerox 1971', 'Hypercom P1300 Pinpad']",2
CA-2014-111899,"['Boston Home & Office Model 2000 Electric Pencil Sharpeners', 'OIC Thumb-Tacks']",2
CA-2014-111934,"['Storex Dura Pro Binders', 'Easy-staple paper']",2
CA-2014-112158,"['Logitech 910-002974 M325 Wireless Mouse for Web Scrolling', ""O'Sullivan Living Dimensions 5-Shelf Bookcases"", 'Angle-D Binders with Locking Rings, Label Holders']",3
CA-2014-112291,"['Staple envelope', 'Enermax Briskie RF Wireless Keyboard and Mouse Combo', 'Logitech G600 MMO Gaming Mouse']",3
CA-2014-112326,"['Avery 508', 'SAFCO Boltless Steel Shelving', 'GBC Standard Plastic Binding Systems Combs']",3
CA-2014-112837,"['Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting']",1
CA-2014-113271,"['Avery Hidden Tab Dividers for Binding Systems', 'Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order', 'Prang Drawing Pencil Set', 'Xerox 1967']",4
